id,ycoord,xcoord
337 ,32.76521177,-96.65488014
338 ,32.74021177,-96.65488014
339 ,32.92771177,-96.6332295
340 ,32.85271177,-96.6332295
341 ,32.82771177,-96.6332295
342 ,32.77771177,-96.6332295
343 ,32.94021177,-96.61157887
344 ,32.91521177,-96.61157887
345 ,32.89021177,-96.61157887
346 ,32.84021177,-96.61157887
347 ,32.79021177,-96.61157887
348 ,32.85271177,-96.58992823
349 ,32.70271177,-96.58992823
350 ,32.67771177,-96.58992823
351 ,32.85231812,-96.55356501
352 ,32.91521177,-96.52497633
353 ,32.89021177,-96.52497633
354 ,32.92072452,-96.51114944
355 ,32.90635301,-96.51213356
356 ,32.87771177,-96.50332569
357 ,29.55708706,-95.8167759
358 ,29.53208706,-95.8167759
359 ,29.54458706,-95.79512526
360 ,29.81958706,-95.75182399
361 ,29.93208706,-95.64357082
362 ,29.60708706,-95.64357082
363 ,29.58208706,-95.64357082
364 ,29.94458706,-95.62192018
365 ,29.91958706,-95.62192018
366 ,29.89458706,-95.62192018
367 ,29.59458706,-95.62192018
368 ,29.90708706,-95.60026955
369 ,29.88208706,-95.60026955
370 ,29.86958706,-95.53531764
371 ,29.88208706,-95.51366701
372 ,29.85708706,-95.51366701
373 ,30.01958706,-95.49201637
374 ,29.94458706,-95.49201637
375 ,29.89458706,-95.49201637
376 ,29.64458706,-95.49201637
377 ,29.61958706,-95.49201637
378 ,29.59458706,-95.49201637
379 ,29.56958706,-95.49201637
380 ,30.08208706,-95.47036574
381 ,30.00708706,-95.47036574
382 ,29.93208706,-95.47036574
383 ,29.90708706,-95.47036574
384 ,29.88208706,-95.47036574
385 ,29.65708706,-95.47036574
386 ,29.63208706,-95.47036574
387 ,29.60708706,-95.47036574
388 ,29.96958706,-95.4487151
389 ,29.94458706,-95.4487151
390 ,29.91958706,-95.4487151
391 ,29.89458706,-95.4487151
392 ,29.86958706,-95.4487151
393 ,29.84458706,-95.4487151
394 ,29.64458706,-95.4487151
395 ,29.61958706,-95.4487151
396 ,29.59458706,-95.4487151
397 ,29.95708706,-95.42706447
398 ,29.85708706,-95.42706447
399 ,29.99458706,-95.40541383
400 ,29.91958706,-95.40541383
401 ,29.89458706,-95.40541383
402 ,29.69458706,-95.40541383
403 ,30.05708706,-95.3837632
404 ,30.03208706,-95.3837632
405 ,30.00708706,-95.3837632
406 ,29.98208706,-95.3837632
407 ,29.95708706,-95.3837632
408 ,29.93208706,-95.3837632
409 ,29.90708706,-95.3837632
410 ,29.70708706,-95.3837632
411 ,29.68208706,-95.3837632
412 ,29.65708706,-95.3837632
413 ,29.62322998,-95.37894101
414 ,30.04458706,-95.36211256
415 ,30.02701717,-95.35731498
416 ,29.99458706,-95.36211256
417 ,29.96958706,-95.36211256
418 ,29.94458706,-95.36211256
419 ,29.91958706,-95.36211256
420 ,29.89458706,-95.36211256
421 ,29.74458706,-95.36211256
422 ,29.71958706,-95.36211256
423 ,29.66958706,-95.36211256
424 ,29.64458706,-95.36211256
425 ,30.03932034,-95.33992066
426 ,30.00708706,-95.34046193
427 ,29.93208706,-95.34046193
428 ,29.90708706,-95.34046193
429 ,29.88208706,-95.34046193
430 ,29.85708706,-95.34046193
431 ,29.83208706,-95.34046193
432 ,29.75708706,-95.34046193
433 ,29.73208706,-95.34046193
434 ,29.70708706,-95.34046193
435 ,29.65708706,-95.34046193
436 ,29.84458706,-95.31881129
437 ,29.81958706,-95.31881129
438 ,29.79458706,-95.31881129
439 ,29.76958706,-95.31881129
440 ,29.74458706,-95.31881129
441 ,29.71958706,-95.31881129
442 ,29.66958706,-95.31881129
443 ,29.64458706,-95.31881129
444 ,29.88208706,-95.29716066
445 ,29.83208706,-95.29716066
446 ,29.80708706,-95.29716066
447 ,29.75708706,-95.29716066
448 ,29.68208706,-95.29716066
449 ,29.89458706,-95.27551002
450 ,29.86958706,-95.27551002
451 ,29.79458706,-95.27551002
452 ,29.76958706,-95.27551002
453 ,29.74458706,-95.27551002
454 ,29.71958706,-95.27551002
455 ,29.88208706,-95.25385938
456 ,29.85708706,-95.25385938
457 ,29.80708706,-95.25385938
458 ,29.78208706,-95.25385938
459 ,29.75708706,-95.25385938
460 ,29.73208706,-95.25385938
461 ,29.68208706,-95.25385938
462 ,29.84458706,-95.23220875
463 ,29.81958706,-95.23220875
464 ,29.78440142,-95.22748497
465 ,29.76958706,-95.23220875
466 ,29.69458706,-95.23220875
467 ,29.80708706,-95.21055811
468 ,29.78208706,-95.21055811
469 ,29.75708706,-95.21055811
470 ,29.65708706,-95.21055811
471 ,29.63208706,-95.21055811
472 ,29.58208706,-95.21055811
473 ,30.04458706,-95.18890748
474 ,29.81958706,-95.18890748
475 ,29.76958706,-95.18890748
476 ,29.64458706,-95.18890748
477 ,29.61958706,-95.18890748
478 ,29.59458706,-95.18890748
479 ,29.75708706,-95.16725684
480 ,29.68208706,-95.16725684
481 ,29.65708706,-95.16725684
